track_name,artists,track_number,song_id,added_time,popularity,duration_ms,genres,extracted_at
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1,3nqQXoyQOWXiESFLlDF1hG,2022-11-16T12:50:17Z,100,156943,"dance pop, pop, post-teen pop, transpop",25:41.7
Anti-Hero,Taylor Swift,3,0V3wPSX9ygBnCm8psDIegu,2022-11-16T12:50:17Z,97,200690,pop,25:41.7
Rich Flex,"Drake, 21 Savage",1,1bDbXMyjaUIooNwFE9wn0N,2022-11-16T12:50:17Z,92,239359,"atl hip hop, rap",25:41.7
La Bachata,Manuel Turizo,1,5ww2BF9slyYgNOk37BlC4u,2022-11-16T12:50:17Z,97,162637,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino",25:41.7
I'm Good (Blue),"David Guetta, Bebe Rexha",1,4uUG5RXrOk84mYEfFvj3cK,2022-11-16T12:50:17Z,97,175238,"dance pop, edm, pop, post-teen pop",25:41.7
As It Was,Harry Styles,4,4Dvkj6JhhA12EX05fT7y2e,2022-11-16T12:50:17Z,91,167303,pop,25:41.7
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1,2tTmW7RDtMQtBk7m2rYeSw,2022-11-16T12:50:17Z,97,198937,"rap canario, trap latino",25:41.7
Under The Influence,Chris Brown,3,5IgjP7X4th6nMNDh4akUHb,2022-11-16T12:50:17Z,95,184613,"dance pop, pop, r&b",25:41.7
Midnight Rain,Taylor Swift,6,3rWDp9tBPQR9z6U5YyRSK4,2022-11-16T12:50:17Z,91,174782,pop,25:41.7
Lavender Haze,Taylor Swift,1,5jQI2r1RdgtuT8S3iG8zFC,2022-11-16T12:50:17Z,92,202395,pop,25:41.7
Me Porto Bonito,"Bad Bunny, Chencho Corleone",3,6Sq7ltF9Qa7SNFBsV5Cogx,2022-11-16T12:50:17Z,95,178567,reggaeton flow,25:41.7
Another Love,Tom Odell,3,7jtQIBanIiJOMS6RyCx6jZ,2022-11-16T12:50:17Z,66,244360,"chill pop, pop",25:41.7
